Epoch 4, ranks: None
Epoch 9, ranks: None
Epoch 14, ranks: None
Epoch 19, ranks: None
Epoch 24, ranks: None
Epoch 29, ranks: None
Epoch 34, ranks: None
Epoch 39, ranks: None
Epoch 44, ranks: None
Epoch 49, ranks: None
Epoch 54, ranks: None
Epoch 59, ranks: None
Epoch 64, ranks: None
Epoch 69, ranks: None
Epoch 74, ranks: None
Epoch 79, ranks: None
Epoch 84, ranks: None
Epoch 89, ranks: None
Epoch 94, ranks: None
Epoch 99, ranks: None
Epoch 104, ranks: None
Epoch 109, ranks: None
Epoch 114, ranks: None
Epoch 119, ranks: None
Epoch 124, ranks: None
Epoch 129, ranks: None
Epoch 134, ranks: None
Epoch 139, ranks: None
Epoch 144, ranks: None
Epoch 149, ranks: None
Epoch 154, ranks: None
Epoch 159, ranks: None
Epoch 164, ranks: None
Epoch 169, ranks: None
Epoch 174, ranks: None
Epoch 179, ranks: None
Epoch 184, ranks: None
Epoch 189, ranks: None
Epoch 194, ranks: None
Epoch 199, ranks: None
