Sun Apr 14 07:38:08 2024 Epoch 0, rank:32, lr: 0.0050000, train loss: 2.06597, acc: 23.24600
Sun Apr 14 07:38:18 2024 Epoch 1, rank:32, lr: 0.0049997, train loss: 1.93979, acc: 28.30200
Sun Apr 14 07:38:27 2024 Epoch 2, rank:32, lr: 0.0049988, train loss: 1.86378, acc: 30.71800
Sun Apr 14 07:38:37 2024 Epoch 3, rank:32, lr: 0.0049972, train loss: 1.79127, acc: 34.14200
Sun Apr 14 07:38:47 2024 Epoch 4, rank:31, lr: 0.0049951, train loss: 1.70262, acc: 37.27400
Sun Apr 14 07:38:56 2024 Epoch 5, rank:31, lr: 0.0049923, train loss: 1.70222, acc: 38.83200
Sun Apr 14 07:39:05 2024 Epoch 6, rank:31, lr: 0.0049889, train loss: 1.44238, acc: 47.57800
Sun Apr 14 07:39:15 2024 Epoch 7, rank:31, lr: 0.0049849, train loss: 1.36576, acc: 50.41600
Sun Apr 14 07:39:25 2024 Epoch 8, rank:31, lr: 0.0049803, train loss: 1.30960, acc: 52.29400
Sun Apr 14 07:39:34 2024 Epoch 9, rank:30, lr: 0.0049751, train loss: 1.26607, acc: 54.14200
Sun Apr 14 07:39:44 2024 Epoch 10, rank:30, lr: 0.0049692, train loss: 1.19283, acc: 57.14800
Sun Apr 14 07:39:53 2024 Epoch 11, rank:30, lr: 0.0049628, train loss: 1.12663, acc: 59.34600
Sun Apr 14 07:40:03 2024 Epoch 12, rank:30, lr: 0.0049557, train loss: 1.11792, acc: 59.72800
Sun Apr 14 07:40:12 2024 Epoch 13, rank:30, lr: 0.0049481, train loss: 1.10432, acc: 59.99000
Sun Apr 14 07:40:21 2024 Epoch 14, rank:30, lr: 0.0049398, train loss: 1.08183, acc: 61.04400
Sun Apr 14 07:40:31 2024 Epoch 15, rank:30, lr: 0.0049309, train loss: 1.05627, acc: 62.44600
Sun Apr 14 07:40:40 2024 Epoch 16, rank:30, lr: 0.0049215, train loss: 1.00624, acc: 63.84800
Sun Apr 14 07:40:50 2024 Epoch 17, rank:30, lr: 0.0049114, train loss: 1.00135, acc: 64.26600
Sun Apr 14 07:40:59 2024 Epoch 18, rank:30, lr: 0.0049007, train loss: 1.00057, acc: 63.97800
Sun Apr 14 07:41:08 2024 Epoch 19, rank:29, lr: 0.0048895, train loss: 0.98954, acc: 64.43000
Sun Apr 14 07:41:18 2024 Epoch 20, rank:29, lr: 0.0048776, train loss: 0.96616, acc: 65.52000
Sun Apr 14 07:41:27 2024 Epoch 21, rank:29, lr: 0.0048652, train loss: 0.94003, acc: 66.38000
Sun Apr 14 07:41:37 2024 Epoch 22, rank:29, lr: 0.0048522, train loss: 0.92668, acc: 66.66200
Sun Apr 14 07:41:46 2024 Epoch 23, rank:29, lr: 0.0048386, train loss: 0.92426, acc: 66.76600
Sun Apr 14 07:41:56 2024 Epoch 24, rank:29, lr: 0.0048244, train loss: 0.92063, acc: 67.23000
Sun Apr 14 07:42:05 2024 Epoch 25, rank:29, lr: 0.0048097, train loss: 0.89647, acc: 67.93600
Sun Apr 14 07:42:15 2024 Epoch 26, rank:29, lr: 0.0047944, train loss: 0.87406, acc: 68.66000
